,INALT-ML,INALT-ML-to-tip,INALT-tip-to-1500,ROMS-ML,ROMS-ML-to-tip,ROMS-tip-to-1500,ROMSchild-ML,ROMSchild-ML-to-tip,ROMSchild-tip-to-1500
14,0.0,0.08016020515480256,0.6609018400063176,0.0,0.011367764591910875,0.13199129100189172,0.0039913520705138865,0.02419963589538653,0.16054195208719677
15,0.0,0.06964314013628964,0.6409223722656558,0.0,0.009642165173165415,0.11150372987828819,0.030766672210211208,0.022009087814336248,0.14248949778601974
16,0.0,0.061171860367953204,0.6229566453447051,0.0,0.00800738677645919,0.09358603704893458,0.03708631298852486,0.01977413673164306,0.12447488930098778
17,0.0,0.057080289867600234,0.6099265576877517,0.0,0.003859893436667474,0.08070100296248706,0.008814235822384832,0.015171025561327945,0.1061575142867956
18,0.0,0.05255651121580153,0.5978835978835979,0.0,0.003360377815451683,0.07445479530285184,0.0008315316813570597,0.010464307387179373,0.09177610415168604
19,0.0,0.047053060754059156,0.5848140251125326,0.0,0.002966820053281666,0.06895813256237285,0.00016630633627141194,0.008007341296271628,0.08072512583733868
20,0.0,0.04180893518318422,0.5682302771855011,0.0,0.0022402518769677887,0.061426990755612663,0.0,0.0066900522475319335,0.0756537864739053
21,0.0,0.03863940873924882,0.5483297796730633,0.0,0.0016953257447323807,0.05985651568690438,0.0,0.005446768201530424,0.06263482572001665
22,0.0,0.03600293901542983,0.5309563294637921,0.0,0.0007871155243400339,0.053788771103258734,0.0,0.0035078371297899737,0.05298414260303524
23,0.0,0.03227154197461497,0.5153202242754481,0.0,0.0004541051101961734,0.048649034514758896,0.0,0.0018353240679069905,0.04405252999280929
24,0.0,0.028179971474262006,0.49932875306009633,0.0,0.0001210946960523129,0.047542563443623516,0.0,0.0012136820449062356,0.03508307156643833
25,0.0,0.025010445030326605,0.48325831161652055,0.0,3.0273674013078226e-05,0.04561516222293607,0.0,0.0004440300164291106,0.027400370888998223
26,0.0,0.022604486320612006,0.47018873884545526,0.0,1.5136837006539113e-05,0.041760359781561195,0.0,0.0002220150082145553,0.02058812398289369
27,0.0,0.0196078431372549,0.4558951275369186,0.0,0.0,0.03851233179855088,0.0,0.00017761200657164425,0.016387238390795898
28,0.0,0.017173070550777256,0.4407723288320303,0.0,1.5136837006539113e-05,0.035014455509155155,0.0,0.0001480100054763702,0.014759868296559816
29,0.0,0.013657777585685265,0.42841348811498065,0.0,3.0273674013078226e-05,0.03337259521005104,0.0,0.00010360700383345914,0.012148506982553079
30,0.0,0.009206033625794183,0.41751559662007426,0.0,1.5136837006539113e-05,0.024877752792947138,0.0,0.0001480100054763702,0.01002914127843167
31,0.0,0.005301753324401031,0.40811813946142306,0.0,6.054734802615645e-05,0.022522040189884712,0.0,0.0001332090049287332,0.00790977557431026
32,0.0,0.0029390154298310064,0.39868119718865985,0.0,0.0001210946960523129,0.021701110040332657,0.0,0.00011840800438109616,0.007039321802974681
33,0.0,0.0024491795248591723,0.38932322514412065,0.0,0.00016650520707193025,0.021130028197166008,0.0,0.00010360700383345914,0.00681224690610453
34,0.0,0.002233075449136304,0.3802416488983653,0.0,0.00015136837006539112,0.018346004211728592,0.0,7.40050027381851e-05,0.005525489157173675
35,0.0,0.001728832605782945,0.37250256653241726,0.0,0.00015136837006539112,0.016061676839061997,0.0,7.40050027381851e-05,0.004730727018128146
36,0.0,0.0011237411937589142,0.36579009713338073,0.0,0.00013623153305885203,0.022129421422707643,0.0,5.920400219054808e-05,0.004125193959807743
37,0.0,0.0004322081514457363,0.3587617468214483,0.0,0.00025732622911116493,0.04001142163686333,0.0,5.920400219054808e-05,0.00336827763690724
38,0.0,0.00015847632219676997,0.3486930427228935,0.0,0.0007114313393073383,0.04190313024235286,0.0,5.920400219054808e-05,0.0028005903947318626
39,0.0,8.644163028914726e-05,0.34032219853115375,0.0,0.0014379995156212158,0.042295749009529926,0.0,8.880600328582212e-05,0.002535669681716686
40,0.0,2.8813876763049085e-05,0.329977098633815,0.0,0.0023462097360135627,0.045436699146946494,0.0,8.880600328582212e-05,0.001816599174961208
41,0.0,0.0,0.3186448708836769,0.0,0.003299830467425527,0.048292108362779744,0.0,0.0001332090049287332,0.0021572115202664346
