,INALT,ROMS,ROMSchild
2009-02-25,23.89871,23.26656,23.10112
2009-02-26,23.89871,23.26656,23.10112
2009-02-27,23.89871,23.26656,23.10112
2009-02-28,23.89871,23.26656,23.10112
2009-03-01,23.89871,23.26656,23.10112
2009-03-02,23.89871,23.26656,23.10112
2009-03-03,32.20929,23.26656,23.10112
2009-03-04,23.89871,23.26656,23.10112
2009-03-05,23.89871,23.26656,23.10112
2009-03-06,16.363966,23.26656,36.0146
2009-03-07,16.363966,36.27181,23.10112
2009-03-08,16.363966,23.26656,23.10112
2009-03-09,16.363966,23.26656,23.10112
2009-03-10,23.89871,36.27181,23.10112
2009-03-11,23.89871,36.27181,23.10112
2009-03-12,16.363966,23.26656,23.10112
2009-03-13,16.363966,23.26656,23.10112
2009-03-14,16.363966,23.26656,23.10112
2009-03-15,23.89871,36.27181,23.10112
2009-03-16,32.20929,36.27181,23.10112
2009-03-17,32.20929,36.27181,36.0146
2009-03-18,41.481853,23.26656,36.0146
2009-03-19,32.20929,36.27181,23.10112
2009-03-20,32.20929,23.26656,23.10112
2009-03-21,32.20929,36.27181,23.10112
2009-03-22,32.20929,23.26656,23.10112
2009-03-23,41.481853,36.27181,36.0146
2009-03-24,41.481853,36.27181,36.0146
2009-03-25,41.481853,36.27181,36.0146
2009-03-26,41.481853,36.27181,23.10112
2009-03-27,41.481853,36.27181,36.0146
2009-03-28,41.481853,36.27181,36.0146
2009-03-29,41.481853,36.27181,23.10112
2009-03-30,32.20929,36.27181,23.10112
2009-03-31,32.20929,36.27181,23.10112
2009-04-01,32.20929,36.27181,23.10112
2009-04-02,23.89871,36.27181,36.0146
2009-04-03,23.89871,36.27181,36.0146
2009-04-04,23.89871,36.27181,36.0146
2009-04-05,23.89871,36.27181,36.0146
2009-04-06,41.481853,36.27181,36.0146
2009-04-07,41.481853,36.27181,36.0146
2009-04-08,51.94513,36.27181,36.0146
2009-04-09,41.481853,36.27181,36.0146
2009-04-10,51.94513,36.27181,36.0146
2009-04-11,23.89871,23.26656,36.0146
2009-04-12,23.89871,23.26656,36.0146
2009-04-13,23.89871,23.26656,36.0146
2009-04-14,23.89871,36.27181,36.0146
2009-04-15,23.89871,36.27181,36.0146
2009-04-16,41.481853,36.27181,36.0146
2009-04-17,41.481853,36.27181,36.0146
2009-04-18,41.481853,36.27181,51.53742
2009-04-19,51.94513,36.27181,51.53742
2009-04-20,51.94513,36.27181,51.53742
2009-04-21,51.94513,36.27181,51.53742
2009-04-22,51.94513,36.27181,36.0146
2009-04-23,51.94513,36.27181,36.0146
2009-04-24,41.481853,36.27181,51.53742
2009-04-25,51.94513,36.27181,51.53742
2009-04-26,51.94513,36.27181,36.0146
2009-04-27,51.94513,36.27181,36.0146
2009-04-28,23.89871,36.27181,36.0146
2009-04-29,32.20929,36.27181,36.0146
2009-04-30,41.481853,36.27181,36.0146
2009-05-01,51.94513,36.27181,36.0146
2009-05-02,51.94513,51.90499,51.53742
2009-05-03,51.94513,51.90499,51.53742
2009-05-04,51.94513,51.90499,36.0146
2009-05-05,51.94513,36.27181,36.0146
2009-05-06,51.94513,36.27181,36.0146
2009-05-07,51.94513,36.27181,36.0146
